date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:55	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:49%20GMT	http://kiviki.in/images/shapes/banner-1-shape-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/banner-1-shape-1.png	(from http://kiviki.in/css/main.css)
13:56:58	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:51%20GMT	http://kiviki.in/images/shapes/ripped-paper-slider-2.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-slider-2.png	(from http://kiviki.in/css/main.css)
13:57:01	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:55%20GMT	http://kiviki.in/images/icons/main-slider-icon-2-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/icons/main-slider-icon-2-1.png	(from http://kiviki.in/css/main.css)
13:57:03	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:58%20GMT	http://kiviki.in/images/icons/main-slider-icon-2-2.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/icons/main-slider-icon-2-2.png	(from http://kiviki.in/css/main.css)
13:57:05	369628/369628	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Oct%202020%2005:48:14%20GMT	http://kiviki.in/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/fa-regular-400d41d.eot	(from http://kiviki.in/css/fontawesome-all.min.css)
13:57:06	15038/-1	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2008:27:01%20GMT	http://kiviki.in/login	C:/My%20Web%20Sites/kiviki2/kiviki.in/login.html	(from http://kiviki.in/)
13:57:10	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:27:04%20GMT	http://kiviki.in/images/shapes/ripped-paper-base-2.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-base-2.png	(from http://kiviki.in/css/main.css)
13:57:12	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:27:06%20GMT	http://kiviki.in/images/shapes/ripped-paper-base.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-base.png	(from http://kiviki.in/css/main.css)
13:57:13	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:27:06%20GMT	http://kiviki.in/images/shapes/ripped-paper-primary-up.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-primary-up.png	(from http://kiviki.in/css/main.css)
13:57:18	31045/-1	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2008:27:10%20GMT	http://kiviki.in/subscribe	C:/My%20Web%20Sites/kiviki2/kiviki.in/subscribe.html	(from http://kiviki.in/)
13:57:19	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:27:13%20GMT	http://kiviki.in/images/shapes/ripped-paper-gray-up.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-gray-up.png	(from http://kiviki.in/css/main.css)
13:57:20	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:27:13%20GMT	http://kiviki.in/images/shapes/about-circle-1-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/about-circle-1-1.png	(from http://kiviki.in/css/main.css)
13:57:20	313900/313900	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Oct%202020%2005:48:14%20GMT	http://kiviki.in/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/fa-solid-900d41d.eot	(from http://kiviki.in/css/fontawesome-all.min.css)
13:57:22	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:27:19%20GMT	http://kiviki.in/images/shapes/ripped-paper-testimonials-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-testimonials-1.png	(from http://kiviki.in/css/main.css)
13:57:27	133626/-1	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2008:27:19%20GMT	http://kiviki.in/terms-of-use	C:/My%20Web%20Sites/kiviki2/kiviki.in/terms-of-use.html	(from http://kiviki.in/)
